fish,date,Site,trap,species,sex,status,TL,SL,head_width,body_width,papilla,total_mass,liver,acc_gland,total_gonad,gsi,hsi,body_condition,Comments (note intersex or fin erosion),substrate
1271,April,Rp1,S2,NM,F,NRF,69.86,57.76,NA,NA,NA,3.006,NA,NA,NA,NA,NA,NA,NA,Riprap
1272,April,Rp1,S2,NM,F,NRF,71.23,57.97,NA,NA,NA,3.451,NA,NA,NA,NA,NA,NA,NA,Riprap
1273,April,Rp1,S2,NM,M,NRM,111.91,94.03,NA,NA,NA,16.425,NA,NA,NA,NA,NA,NA,NA,Riprap
1274,April,Rp1,S2,NM,M,NRM,102.62,85.27,NA,NA,NA,14.288,NA,NA,NA,NA,NA,NA,NA,Riprap
1275,April,Rp1,S2,NM,M,NRM,109.1,91.24,NA,NA,NA,12.242,NA,NA,NA,NA,NA,NA,NA,Riprap
1276,April,Rp1,S2,NM,M,NRM,94.62,79.17,NA,NA,NA,8.746,NA,NA,NA,NA,NA,NA,NA,Riprap
1277,April,Rp1,S2,NM,M,NRM,92.52,78.12,NA,NA,NA,8.408,NA,NA,NA,NA,NA,NA,NA,Riprap
1278,April,Rp1,S2,NM,M,NRM,91.15,75.64,NA,NA,NA,9.568,NA,NA,NA,NA,NA,NA,NA,Riprap
1279,April,Rp1,S2,NM,M,NRM,88.58,73.79,NA,NA,NA,7.548,NA,NA,NA,NA,NA,NA,NA,Riprap
1280,April,Rp1,S2,NM,M,NRM,85.33,69.68,NA,NA,NA,6.772,NA,NA,NA,NA,NA,NA,NA,Riprap
1281,April,Rp1,S2,NM,M,NRM,86.83,71.32,NA,NA,NA,6.017,NA,NA,NA,NA,NA,NA,NA,Riprap
1282,April,Rp1,S2,NM,M,NRM,81.83,67.26,NA,NA,NA,4.889,NA,NA,NA,NA,NA,NA,NA,Riprap
1283,April,Rp1,S2,NM,F,NRF,76.93,62.81,NA,NA,NA,5.154,NA,NA,NA,NA,NA,NA,NA,Riprap
1284,April,Rp1,S2,NM,F,NRF,80.65,66.24,NA,NA,NA,6.354,NA,NA,NA,NA,NA,NA,NA,Riprap
1285,April,Rp1,S2,NM,F,NRF,77.55,63.97,NA,NA,NA,4.916,NA,NA,NA,NA,NA,NA,NA,Riprap
1286,April,Rp1,S2,NM,F,NRF,72.87,58.6,NA,NA,NA,3.592,NA,NA,NA,NA,NA,NA,NA,Riprap
1287,April,Rp1,S2,NM,M,NRM,76.04,61.23,NA,NA,NA,3.837,NA,NA,NA,NA,NA,NA,NA,Riprap
1288,April,Rp1,S2,NM,M,NRM,72.95,59.07,NA,NA,NA,3.791,NA,NA,NA,NA,NA,NA,NA,Riprap
1289,April,Rp1,S2,NM,M,NRM,72.74,59.36,NA,NA,NA,3.719,NA,NA,NA,NA,NA,NA,NA,Riprap
1290,April,Rp1,S2,NM,F,NRF,80.87,65.15,NA,NA,NA,5.069,NA,NA,NA,NA,NA,NA,NA,Riprap
1291,April,Rp1,S2,NM,M,NRM,102.19,83.9,NA,NA,NA,11.391,NA,NA,NA,NA,NA,NA,NA,Riprap
1292,April,Rp1,S2,NM,M,NRM,82.88,68.61,NA,NA,NA,6.809,NA,NA,NA,NA,NA,NA,NA,Riprap
1293,April,Rp1,S2,NM,M,NRM,81.24,66.25,NA,NA,NA,5.246,NA,NA,NA,NA,NA,NA,NA,Riprap
1294,April,Rp1,S2,NM,M,NRM,81.26,66.71,NA,NA,NA,5.374,NA,NA,NA,NA,NA,NA,NA,Riprap
1295,April,Rp1,S2,NM,M,NRM,85.18,70.49,NA,NA,NA,6.552,NA,NA,NA,NA,NA,NA,NA,Riprap
1296,April,Rp1,S2,NM,M,NRM,86.93,72.7,NA,NA,NA,6.165,NA,NA,NA,NA,NA,NA,NA,Riprap
1297,April,Rp1,S2,NM,F,NRF,75.13,61.51,NA,NA,NA,3.895,NA,NA,NA,NA,NA,NA,NA,Riprap
1298,April,Rp1,S2,NM,F,NRF,69.76,57.94,NA,NA,NA,3.471,NA,NA,NA,NA,NA,NA,NA,Riprap
1299,April,Rp1,S2,NM,F,NRF,71.56,58.89,NA,NA,NA,3.577,NA,NA,NA,NA,NA,NA,NA,Riprap
1300,April,Rp1,S2,NM,M,NRM,74.84,61.47,NA,NA,NA,4.451,NA,NA,NA,NA,NA,NA,NA,Riprap
1301,April,Rp1,S2,NM,M,NRM,87.89,72.99,NA,NA,NA,8.605,NA,NA,NA,NA,NA,NA,NA,Riprap
1302,April,Rp1,S2,NM,F,NRF,73.12,59.9,NA,NA,NA,4.131,NA,NA,NA,NA,NA,NA,NA,Riprap
1303,April,Rp1,S2,NM,F,NRF,80.64,66.61,NA,NA,NA,5.602,NA,NA,NA,NA,NA,NA,NA,Riprap
1304,April,Rp1,S2,NM,M,NRM,79.94,66.37,NA,NA,NA,4.652,NA,NA,NA,NA,NA,NA,NA,Riprap
1305,April,Rp1,S2,NM,F,NRF,73.75,60.59,NA,NA,NA,4.081,NA,NA,NA,NA,NA,NA,NA,Riprap
1306,April,Rp1,S2,NM,F,NRF,70.19,57.83,NA,NA,NA,3.128,NA,NA,NA,NA,NA,NA,NA,Riprap
1307,April,Rp1,S2,NM,M,NRM,79.71,65.07,NA,NA,NA,4.271,NA,NA,NA,NA,NA,NA,NA,Riprap
1308,April,Rp1,S2,NM,F,NRF,71.16,58.11,NA,NA,NA,3.557,NA,NA,NA,NA,NA,NA,NA,Riprap
1309,April,Rp1,S2,NM,F,NRF,71.28,58.46,NA,NA,NA,3.782,NA,NA,NA,NA,NA,NA,NA,Riprap
1310,April,Rp1,S2,NM,F,NRF,70.85,58.13,NA,NA,NA,3.734,NA,NA,NA,NA,NA,NA,NA,Riprap
1311,April,Rp1,S2,NM,F,NRF,67.07,54.72,NA,NA,NA,3.168,NA,NA,NA,NA,NA,NA,NA,Riprap
1312,April,Rp1,S2,NM,F,NRF,73.62,60.75,NA,NA,NA,3.904,NA,NA,NA,NA,NA,NA,NA,Riprap
1313,April,Rp1,S2,NM,M,NRM,78.57,65.25,NA,NA,NA,4.764,NA,NA,NA,NA,NA,NA,NA,Riprap
1314,April,Rp1,S2,NM,F,NRF,66.01,54.85,NA,NA,NA,2.823,NA,NA,NA,NA,NA,NA,NA,Riprap
1315,April,Rp1,S2,NM,F,NRF,68.22,55.92,NA,NA,NA,3.089,NA,NA,NA,NA,NA,NA,NA,Riprap
